DATE,TAVG
1960,14.4
1961,14.84
1962,14.54
1963,14.17
1964,14.91
1965,15.06
1966,14.8
1967,15.03
1968,14.67
1969,13.83
1970,14.33
1971,14.99
1972,14.68
1973,15.41
1974,15.36
1975,15.31
1976,14.86
1977,14.77
1978,15.03
1979,14.76
1980,15.19
1981,14.59
1982,15.63
1983,14.71
1984,15
1985,15.31
1986,16
1987,15.34
1988,14.69
1989,15.16
1990,17.09
1991,16.54
1992,15.22
1993,15.55
1994,15.74
1995,15.61
1996,14.87
1997,14.99
1998,16.38
1999,15.96
2000,15.01
2001,16.07
2002,16.07
2003,15.24
2004,15.88
2005,16.06
2006,16.25
2007,16.98
2008,16.31
2009,16.24
2010,16.22
2011,16.96
2012,16.94
2013,15.39
2014,15.31
2015,16.54
2016,16.88
2017,17.06
2018,16.3
2019,16.87
2020,16.95
2021,16.56
2022,17.04
2023,17.66
2024,18.02
2025,17.01
